"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2012,5,9.55180450070323,3.95266374836981,711,"LaJaraWest",2012-05-15
"2",2012,6,13.9511155247813,5.47765400624124,686,"LaJaraWest",2012-06-15
"3",2012,7,14.8811218978102,4.06843455383696,685,"LaJaraWest",2012-07-15
"4",2012,8,14.6054686609687,3.54083365974326,702,"LaJaraWest",2012-08-15
"5",2012,9,9.78960087025316,5.01910505478042,632,"LaJaraWest",2012-09-15
"6",2012,10,3.80363367174281,4.49800836582241,591,"LaJaraWest",2012-10-15
"7",2012,11,-3.13756926605505,3.30456322529441,545,"LaJaraWest",2012-11-15
"8",2012,12,-6.29535142857143,4.11084564613629,525,"LaJaraWest",2012-12-15
"9",2013,1,-9.73323452380952,3.54349583808605,420,"LaJaraWest",2013-01-15
"10",2013,3,2.21458333333333,1.87007752966395,30,"LaJaraWest",2013-03-15
"11",2013,4,3.96958619749045,3.21134347772823,611,"LaJaraWest",2013-04-15
"12",2013,5,8.21432780235988,4.42087886900993,678,"LaJaraWest",2013-05-15
"13",2013,6,13.2586959041731,6.12687989447028,647,"LaJaraWest",2013-06-15
"14",2013,7,15.0644234992679,3.33770301755268,683,"LaJaraWest",2013-07-15
"15",2013,8,14.3246562064156,3.03991761094961,717,"LaJaraWest",2013-08-15
"16",2013,9,12.0511667877907,3.21218507865134,688,"LaJaraWest",2013-09-15
"17",2013,10,4.79821070359281,2.14966289908304,668,"LaJaraWest",2013-10-15
"18",2013,11,1.43370235426009,0.954141874947407,446,"LaJaraWest",2013-11-15
"19",2014,4,0.949368421052632,0.446292842391171,19,"LaJaraWest",2014-04-15
"20",2014,5,7.25886647314949,3.89187079250775,689,"LaJaraWest",2014-05-15
"21",2014,6,12.8132303370787,3.73870558699253,712,"LaJaraWest",2014-06-15
"22",2014,7,14.9786008287293,2.34539172091486,724,"LaJaraWest",2014-07-15
"23",2014,8,12.6842449392713,2.1604613293147,741,"LaJaraWest",2014-08-15
"24",2014,9,11.5984343398876,2.239544087869,712,"LaJaraWest",2014-09-15
"25",2014,10,5.362513671875,2.30291144407198,640,"LaJaraWest",2014-10-15
"26",2014,11,2.03811597938144,1.72434111580964,388,"LaJaraWest",2014-11-15
"27",2015,3,1.44151811594203,1.30972478360666,138,"LaJaraWest",2015-03-15
"28",2016,12,0.674,NA,1,"LaJaraWest",2016-12-15
"29",2017,3,2.53840920716113,2.00399920545231,391,"LaJaraWest",2017-03-15
"30",2017,4,4.56466637931034,2.61230725750047,580,"LaJaraWest",2017-04-15
"31",2017,5,7.55121731321839,2.16890795863097,696,"LaJaraWest",2017-05-15
"32",2017,6,11.8449457282913,2.47020404507644,714,"LaJaraWest",2017-06-15
"33",2017,7,13.5145401209677,1.66347541209214,744,"LaJaraWest",2017-07-15
"34",2017,8,13.0268361372813,1.5543608778838,743,"LaJaraWest",2017-08-15
"35",2017,9,10.2174766387727,1.96012745051724,717,"LaJaraWest",2017-09-15
"36",2017,10,5.62076603665521,2.65859302920006,679,"LaJaraWest",2017-10-15
"37",2017,11,2.39995179063361,1.92368630212677,605,"LaJaraWest",2017-11-15
"38",2018,4,3.44681181181181,2.20813539284712,555,"LaJaraWest",2018-04-15
"39",2018,5,8.14857731998759,2.79854803064433,716,"LaJaraWest",2018-05-15
"40",2018,6,12.2054975592748,3.1057398562822,717,"LaJaraWest",2018-06-15
"41",2018,7,14.1266506944444,3.07176048503679,720,"LaJaraWest",2018-07-15
"42",2018,8,13.6523208446866,2.2255586837689,734,"LaJaraWest",2018-08-15
"43",2018,9,10.3292757142857,2.39310274891465,700,"LaJaraWest",2018-09-15
"44",2018,10,6.12059334763948,2.41749167070583,699,"LaJaraWest",2018-10-15
"45",2018,11,2.55218204022988,0.69473397047721,116,"LaJaraWest",2018-11-15
"46",2019,7,14.3078589385475,1.1481015925683,179,"LaJaraWest",2019-07-15
"47",2019,8,12.9625487231183,1.92862447314319,744,"LaJaraWest",2019-08-15
"48",2019,9,10.8832684797768,2.16247486053384,717,"LaJaraWest",2019-09-15
"49",2019,10,4.32164509954058,3.11439593654401,653,"LaJaraWest",2019-10-15
"50",2019,11,0.315002192982456,0.126506875253081,114,"LaJaraWest",2019-11-15
