"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2008,11,2.57453273809524,1.39623653172183,168,"JaramilloUpper",2008-11-15
"2",2009,4,3.75995849802372,1.51559994121222,253,"JaramilloUpper",2009-04-15
"3",2009,5,7.47102549575071,1.64791288460148,706,"JaramilloUpper",2009-05-15
"4",2009,6,10.2982354166667,1.85440774160099,720,"JaramilloUpper",2009-06-15
"5",2009,7,13.2794015151515,1.92833174056402,726,"JaramilloUpper",2009-07-15
"6",2009,8,12.3045875512996,1.86623600028577,731,"JaramilloUpper",2009-08-15
"7",2009,9,9.80495138888889,1.53411704537148,720,"JaramilloUpper",2009-09-15
"8",2009,10,5.53547458791209,1.76061582471253,728,"JaramilloUpper",2009-10-15
"9",2009,11,2.57679559748428,0.63279845320452,318,"JaramilloUpper",2009-11-15
"10",2010,4,2.88953395784543,1.36742151439216,427,"JaramilloUpper",2010-04-15
"11",2010,5,6.50570625,2.18318125010801,720,"JaramilloUpper",2010-05-15
"12",2010,6,11.7806444444444,1.34458309610581,720,"JaramilloUpper",2010-06-15
"13",2010,7,13.5740409946237,0.940036471257524,744,"JaramilloUpper",2010-07-15
"14",2010,8,13.369373655914,1.0838458639625,744,"JaramilloUpper",2010-08-15
"15",2010,9,10.7011694444444,1.27566363586198,720,"JaramilloUpper",2010-09-15
"16",2010,10,6.42016168478261,2.0996264621654,736,"JaramilloUpper",2010-10-15
"17",2010,11,2.02908916478555,1.20378972447104,443,"JaramilloUpper",2010-11-15
"18",2011,3,14.59706,2.12659821205375,50,"JaramilloUpper",2011-03-15
"19",2011,6,16.5012443820225,2.31104944167383,178,"JaramilloUpper",2011-06-15
"20",2011,7,15.3197342069892,1.64579843599611,744,"JaramilloUpper",2011-07-15
"21",2011,8,14.6026209677419,1.22412231446222,744,"JaramilloUpper",2011-08-15
"22",2011,9,10.9631868055556,1.91512772195778,720,"JaramilloUpper",2011-09-15
"23",2011,10,6.45678102355072,1.36219793908433,736,"JaramilloUpper",2011-10-15
"24",2011,11,2.88985412394623,0.69214706538411,627,"JaramilloUpper",2011-11-15
"25",2012,3,1.85335310734463,0.820603738320392,177,"JaramilloUpper",2012-03-15
"26",2012,4,4.87915642458101,1.39742482896041,716,"JaramilloUpper",2012-04-15
"27",2012,5,13.0579770861833,3.96786484264413,731,"JaramilloUpper",2012-05-15
"28",2012,6,13.8004923611111,2.14939019886875,720,"JaramilloUpper",2012-06-15
"29",2012,7,14.5301212938005,1.09996787438278,742,"JaramilloUpper",2012-07-15
"30",2012,8,14.3083534946237,1.18560157852568,744,"JaramilloUpper",2012-08-15
"31",2012,9,11.1315583333333,1.65667282166363,720,"JaramilloUpper",2012-09-15
"32",2012,10,6.80098601398601,1.99439693287333,715,"JaramilloUpper",2012-10-15
"33",2012,11,1.94481016847172,1.3623365694961,554,"JaramilloUpper",2012-11-15
"34",2013,3,0.121,0.0914367462863185,29,"JaramilloUpper",2013-03-15
"35",2013,4,3.63149398220827,2.14517743816883,637,"JaramilloUpper",2013-04-15
"36",2013,5,8.68566837431694,2.49171812631622,732,"JaramilloUpper",2013-05-15
"37",2013,6,13.253696875,2.15961287693107,720,"JaramilloUpper",2013-06-15
"38",2013,7,14.250748654105,1.25723150457526,743,"JaramilloUpper",2013-07-15
"39",2013,8,13.8168538306452,1.04074605629322,744,"JaramilloUpper",2013-08-15
"40",2013,9,12.2250178072626,1.69436509937488,716,"JaramilloUpper",2013-09-15
"41",2013,10,5.81824050203528,1.61275774284421,737,"JaramilloUpper",2013-10-15
"42",2013,11,3.00899284253579,0.636082898561271,489,"JaramilloUpper",2013-11-15
"43",2013,12,0.802166666666667,0.0314655896708346,3,"JaramilloUpper",2013-12-15
"44",2014,6,14.4569525139665,2.38030258302959,179,"JaramilloUpper",2014-06-15
"45",2014,7,14.4780352303523,1.33220552200538,738,"JaramilloUpper",2014-07-15
"46",2014,8,12.9570779569892,1.10652568093803,744,"JaramilloUpper",2014-08-15
"47",2014,9,11.8884316806331,1.20777882124926,716,"JaramilloUpper",2014-09-15
"48",2014,10,6.84064744475138,1.40378241299458,724,"JaramilloUpper",2014-10-15
"49",2014,11,3.1124552184466,1.44990924311264,412,"JaramilloUpper",2014-11-15
"50",2015,3,1.97117365269461,1.9431797882704,167,"JaramilloUpper",2015-03-15
"51",2015,4,4.45929578606159,1.70780609166954,617,"JaramilloUpper",2015-04-15
"52",2015,5,7.57516174298375,2.30895381049999,677,"JaramilloUpper",2015-05-15
"53",2015,6,13.039147080292,2.73460224647866,685,"JaramilloUpper",2015-06-15
"54",2015,7,12.6839791666667,0.653348381402342,12,"JaramilloUpper",2015-07-15
"55",2017,6,13.7594908256881,2.13204480235921,109,"JaramilloUpper",2017-06-15
"56",2017,7,13.766908938172,1.45684468744217,744,"JaramilloUpper",2017-07-15
"57",2017,8,13.1481527590848,1.39876961687313,743,"JaramilloUpper",2017-08-15
"58",2017,9,10.2204153899721,1.70472248118647,718,"JaramilloUpper",2017-09-15
"59",2017,10,5.85131162952646,2.01543140645591,718,"JaramilloUpper",2017-10-15
"60",2017,11,4.62425977653631,0.538356352943853,179,"JaramilloUpper",2017-11-15
