"","yr","Value.mn","Value.sd","Value.n","siteID"
"1",2008,12.3565199456589,3.23440980731365,2699,"EastForkJemezHiddenValley"
"2",2009,12.2660344020173,3.35914993945345,4164,"EastForkJemezHiddenValley"
"3",2010,12.4337861577663,4.00355499581288,4644,"EastForkJemezHiddenValley"
"4",2011,10.6384925660902,4.69291334349878,5031,"EastForkJemezHiddenValley"
"5",2012,11.0700250096191,3.76751141144601,5198,"EastForkJemezHiddenValley"
"6",2013,10.6921856987762,4.34823714796457,5066,"EastForkJemezHiddenValley"
"7",2014,9.19644404312374,4.51283706596796,6091,"EastForkJemezHiddenValley"
"8",2015,10.1656088660111,2.66017627166078,1627,"EastForkJemezHiddenValley"
"9",2016,1.6769362745098,0.131688004367448,17,"EastForkJemezHiddenValley"
"10",2017,10.0620391990724,3.79570253412271,5606,"EastForkJemezHiddenValley"
"11",2018,10.4747367205543,3.1630341355309,4330,"EastForkJemezHiddenValley"
"12",2019,10.0558451603325,4.12761649006164,2526,"EastForkJemezHiddenValley"
"13",2020,0.389428571428571,NA,1,"EastForkJemezHiddenValley"
