"Plot Title: 1153410"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1153410, SEN S/N: 1153410)","Temp, °C (LGR S/N: 1153410, SEN S/N: 1153410)","Batt, V (LGR S/N: 1153410, SEN S/N: 1153410)","Coupler Detached (LGR S/N: 1153410)","Coupler Attached (LGR S/N: 1153410)","Host Connected (LGR S/N: 1153410)","Stopped (LGR S/N: 1153410)","End Of File (LGR S/N: 1153410)"
1,11/18/10 11:30:00 AM,87701,0.232,3.40,Logged,,,,
2,11/18/10 12:00:00 PM,87669,0.232,3.40,,,,,
3,11/18/10 12:30:00 PM,87653,0.232,3.43,,,,,
4,11/18/10 01:00:00 PM,87637,0.232,3.43,,,,,
5,11/18/10 01:30:00 PM,87669,0.232,3.43,,,,,
6,11/18/10 02:00:00 PM,87653,0.232,3.43,,,,,
7,11/18/10 02:30:00 PM,87621,0.232,3.43,,,,,
8,11/18/10 03:00:00 PM,87573,0.232,3.43,,,,,
9,11/18/10 03:30:00 PM,87573,0.232,3.43,,,,,
10,11/18/10 04:00:00 PM,87573,0.232,3.43,,,,,
11,11/18/10 04:30:00 PM,87557,0.232,3.43,,,,,
12,11/18/10 05:00:00 PM,87541,0.232,3.43,,,,,
13,11/18/10 05:30:00 PM,87541,0.232,3.43,,,,,
14,11/18/10 06:00:00 PM,87557,0.232,3.43,,,,,
15,11/18/10 06:30:00 PM,87573,0.232,3.43,,,,,
16,11/18/10 07:00:00 PM,87589,0.232,3.43,,,,,
17,11/18/10 07:30:00 PM,87573,0.232,3.43,,,,,
18,11/18/10 08:00:00 PM,87525,0.232,3.43,,,,,
19,11/18/10 08:30:00 PM,87541,0.232,3.43,,,,,
20,11/18/10 09:00:00 PM,87541,0.232,3.43,,,,,
21,11/18/10 09:30:00 PM,87525,0.232,3.43,,,,,
22,11/18/10 10:00:00 PM,87541,0.232,3.43,,,,,
23,11/18/10 10:30:00 PM,87541,0.232,3.43,,,,,
24,11/18/10 11:00:00 PM,87525,0.232,3.43,,,,,
25,11/18/10 11:30:00 PM,87478,0.232,3.43,,,,,
26,11/19/10 12:00:00 AM,87462,0.232,3.43,,,,,
27,11/19/10 12:30:00 AM,87446,0.232,3.43,,,,,
28,11/19/10 01:00:00 AM,87398,0.232,3.43,,,,,
29,11/19/10 01:30:00 AM,87366,0.232,3.43,,,,,
30,11/19/10 02:00:00 AM,87366,0.232,3.43,,,,,
31,11/19/10 02:30:00 AM,87350,0.232,3.43,,,,,
32,11/19/10 03:00:00 AM,87319,0.232,3.43,,,,,
33,11/19/10 03:30:00 AM,87303,0.232,3.43,,,,,
34,11/19/10 04:00:00 AM,87812,0.232,3.43,,,,,
35,11/19/10 04:30:00 AM,91076,0.232,3.43,,,,,
36,11/19/10 05:00:00 AM,94629,0.232,3.43,,,,,
37,11/19/10 05:30:00 AM,98057,0.232,3.43,,,,,
38,11/19/10 06:00:00 AM,100594,0.232,3.43,,,,,
39,11/19/10 06:30:00 AM,102174,0.232,3.43,,,,,
40,11/19/10 07:00:00 AM,103339,0.232,3.43,,,,,
41,11/19/10 07:30:00 AM,104170,0.232,3.43,,,,,
42,11/19/10 08:00:00 AM,104489,0.232,3.43,,,,,
43,11/19/10 08:30:00 AM,104250,0.232,3.43,,,,,
44,11/19/10 09:00:00 AM,103595,0.232,3.43,,,,,
45,11/19/10 09:30:00 AM,100865,0.232,3.43,,,,,
46,11/19/10 10:00:00 AM,97993,0.232,3.43,,,,,
47,11/19/10 10:30:00 AM,95984,0.232,3.43,,,,,
48,11/19/10 11:00:00 AM,94422,0.232,3.43,,,,,
49,11/19/10 11:30:00 AM,91649,0.232,3.43,,,,,
50,11/19/10 12:00:00 PM,89515,0.232,3.43,,,,,
51,11/19/10 12:30:00 PM,88146,0.232,3.43,,,,,
52,11/19/10 01:00:00 PM,87605,0.232,3.43,,,,,
53,11/19/10 01:30:00 PM,87191,0.232,3.43,,,,,
54,11/19/10 02:00:00 PM,87175,0.232,3.43,,,,,
55,11/19/10 02:30:00 PM,87175,0.232,3.43,,,,,
